variable,country,essround,non_neutrality,avg_deviation_from_neutrality,dispersion,moderate_divergence,moderate_group_consensus,moderate_size_parity
imbgeco,Austria,2002,0.7190007518518347,0.02153126939147061,0.3259645690698055,0.43464603174766997,0.681476765132635,0.17946583774954153
imbgeco,Austria,2008,NA,NA,NA,NA,NA,NA
imbgeco,Austria,2010,NA,NA,NA,NA,NA,NA
imbgeco,Austria,2012,NA,NA,NA,NA,NA,NA
imbgeco,Austria,2014,0.7706629267429301,0.08286961103524196,0.380392703678303,0.4152650157203782,0.7278775582211676,0.22173859877398366
imbgeco,Austria,2016,0.7825480904834866,0.11924768351884563,0.39579182810611396,0.4218465376608558,0.6452890232562403,0.30722807529901996
imbgeco,Austria,2018,0.7867772118091761,0.02779570543126795,0.375688453754376,0.4386103412636422,0.6361583088416933,0.28991542155241423
imbgeco,Austria,2020,0.7561903428727821,0.04178837423934159,0.3880079112812196,0.45975514509302884,0.656974610216384,0.3572645909395088
imbgeco,Austria,2022,0.8229992443077339,0.11859722817701074,0.37310585276914604,0.43158760525818923,0.644534821927073,0.12460157163417684
imbgeco,Belgium,2002,0.7069199830722591,0.15828589537541957,0.34123172489270415,0.40865806637622787,0.6967182932119969,0.1678915042653621
imbgeco,Belgium,2008,0.7247419734676044,0.11145717143989026,0.3328079928497433,0.4062075545857038,0.7289348812727003,0.16042249041972614
imbgeco,Belgium,2010,0.7451461893425075,0.158058217578656,0.33875320428690164,0.3927991886226758,0.7275048372339574,0.08107706260326629
imbgeco,Belgium,2012,0.7805212868346377,0.14605372839818448,0.3512282778658559,0.40398119408175853,0.7208436863176428,0.12993123200439474
imbgeco,Belgium,2014,0.7700746212930876,0.16184127116260694,0.36137517407130965,0.4112032930465643,0.704658400193152,0.08417020299610042
imbgeco,Belgium,2016,0.7473120360317942,0.07580613447832328,0.3445735522865254,0.4077726916139468,0.7172824190054712,0.1694518558791925
imbgeco,Belgium,2018,0.7391059680153749,0.005005328283441912,0.3139666673459371,0.407309667643721,0.7683006599512198,0.11883061909057657
imbgeco,Belgium,2020,0.7589585239677812,0.06481652565335719,0.3329842736506172,0.4166650649455214,0.7216965411343814,0.10135089422437463
imbgeco,Belgium,2022,0.7879986655098021,0.041775385250691424,0.34096848139383346,0.4086736619013028,0.7306480045841259,0.12583911672527714
imbgeco,Switzerland,2002,0.731452604303529,0.06489359304865837,0.305875152738641,0.4161136066469592,0.7227246819724364,0.12727885751164514
imbgeco,Switzerland,2008,0.79147091473317,0.13338871477850187,0.31553362654036976,0.4203037590162195,0.7143002427271992,0.10750885306227743
imbgeco,Switzerland,2010,0.7702369451502638,0.12735468858273633,0.31388154731986173,0.408959045088654,0.7018381363633581,0.04364095811081628
imbgeco,Switzerland,2012,0.7866046324319295,0.1261667372301062,0.32167583001606803,0.4145666909211526,0.7182011778757538,0.07959022774928615
imbgeco,Switzerland,2014,0.7891113570672212,0.13432936642472093,0.3251746448702562,0.417327382119482,0.6971029662597938,0.08886531676771078
imbgeco,Switzerland,2016,0.7897817497514725,0.11642590867137415,0.33056397680317984,0.424332811709495,0.7230123927617725,0.125507569271582
imbgeco,Switzerland,2018,0.7994272069995796,0.14048285163618335,0.32247644406301584,0.41742705683865894,0.6984005210349962,0.10551992123320515
imbgeco,Switzerland,2020,0.8069920596539599,0.1910501938345629,0.3100733012803317,0.43511350660946324,0.6880282593178582,0.0797992530721148
imbgeco,Switzerland,2022,0.8066336263048057,0.20530612699601714,0.31611927419007296,0.42379043404820005,0.7073177884710584,0.0596008049899147
imbgeco,Czechia,2002,0.7219373755938701,0.19016512434014407,0.34281637487289607,0.43101143002567643,0.6443367156576629,0.12509790153028477
